127.0.0.1 - - [20/Jun/2023:18:12:09 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Jun/2023:18:12:10 +0530] "GET /learners-academy/ HTTP/1.1" 200 2735
0:0:0:0:0:0:0:1 - - [20/Jun/2023:18:12:10 +0530] "GET /learners-academy/css/palette.css HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [20/Jun/2023:18:12:10 +0530] "GET /learners-academy/css/materialize.css HTTP/1.1" 200 179297
0:0:0:0:0:0:0:1 - - [20/Jun/2023:18:12:10 +0530] "GET /learners-academy/css/extras.css HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [20/Jun/2023:18:12:10 +0530] "GET /learners-academy/js/materialize.js HTTP/1.1" 200 370999
0:0:0:0:0:0:0:1 - - [20/Jun/2023:18:12:11 +0530] "GET /learners-academy/js/init.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [20/Jun/2023:18:12:11 +0530] "GET /learners-academy/images/eduspa.png HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [20/Jun/2023:18:12:11 +0530] "GET /learners-academy/images/repeat.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [20/Jun/2023:18:12:12 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Jun/2023:18:13:25 +0530] "GET /learners-academy/login-controller?username=admin&password=admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jun/2023:18:13:25 +0530] "GET /learners-academy/dashboard-controller HTTP/1.1" 200 4020
0:0:0:0:0:0:0:1 - - [20/Jun/2023:18:13:25 +0530] "GET /learners-academy/js/init.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [20/Jun/2023:18:13:25 +0530] "GET /learners-academy/images/repeat.jpg HTTP/1.1" 404 793
